GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},22,0,0,0,4,0,2,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database,253,201,2,4,51,40,13,6,12,4
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},22,0,0,0,4,0,2,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Application,8,0,0,0,3,0,2,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},37,0,2,0,7,0,3,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},25,0,0,0,5,0,2,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},37,0,2,0,7,0,3,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,User,26,134,4,4,11,34,11,8,7,8
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},22,0,0,0,4,0,2,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Location,5,105,2,2,3,25,3,12,1,12
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},22,0,0,0,4,0,2,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},22,0,0,0,4,0,2,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},0,37,0,2,0,7,0,3,0,2
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,DatabaseStats,48,0,0,0,15,0,6,0,6,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Review,205,170,3,3,53,35,5,11,2,11
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,DatabaseController,50,150,0,12,11,33,4,11,4,5
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},18,0,0,0,3,0,2,0,2,0
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},0,18,0,0,0,3,0,2,0,2
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Database.new TransactionWork() {...},0,18,0,0,0,3,0,2,0,2
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,FileUtils,3,36,0,0,1,8,1,2,1,2
materialisation_neo4j,esilv.quelhasu.materialisation_neo4j,Main,440,0,38,0,97,0,28,0,9,0
